,Voltage,Current (Mean),Current (Std)
0,-2.5,-5.132201E-13,+3.219460E-14
1,-2.45,-4.543638E-13,+3.059549E-14
2,-2.4,-4.209826E-13,+3.032587E-14
3,-2.35,-4.050906E-13,+4.328103E-14
4,-2.3,-3.955074E-13,+2.936976E-14
5,-2.25,-3.914146E-13,+2.395631E-14
6,-2.2,-3.870423E-13,+2.722626E-14
7,-2.15,-3.943694E-13,+2.002403E-14
8,-2.1,-3.938103E-13,+2.778482E-14
9,-2.05,-3.568355E-13,+3.550684E-14
10,-2,-3.784573E-13,+1.720704E-14
11,-1.95,-3.738055E-13,+1.953021E-14
12,-1.9,-3.942494E-13,+2.384965E-14
13,-1.85,-3.898372E-13,+3.497679E-14
14,-1.8,-3.728671E-13,+2.280201E-14
15,-1.75,-3.778383E-13,+4.073622E-14
16,-1.7,-3.593708E-13,+2.565177E-14
17,-1.65,-3.445969E-13,+4.362204E-14
18,-1.6,-3.287248E-13,+4.049254E-14
19,-1.55,-3.427801E-13,+2.363942E-14
20,-1.5,-3.214377E-13,+2.636540E-14
21,-1.45,-3.194811E-13,+3.941021E-14
22,-1.4,-2.951640E-13,+2.742400E-14
23,-1.35,-2.391240E-13,+1.841281E-13
24,-1.3,-2.763971E-13,+3.552551E-14
25,-1.25,-2.501035E-13,+3.287045E-14
26,-1.2,-2.363477E-13,+4.084889E-14
27,-1.15,-2.324745E-13,+6.166754E-14
28,-1.1,-2.028667E-13,+3.891715E-14
29,-1.05,-1.642748E-13,+4.628309E-14
30,-1,-1.654527E-13,+4.187070E-14
31,-0.95,-1.324110E-13,+3.701698E-14
32,-0.9,-8.200013E-14,+3.854767E-14
33,-0.85,-7.311634E-14,+4.601409E-14
34,-0.8,-2.192869E-14,+4.092937E-14
35,-0.75,+1.141019E-14,+4.374953E-14
36,-0.7,+4.303208E-14,+2.728703E-14
37,-0.65,+8.922707E-14,+2.345564E-14
38,-0.6,+1.126040E-13,+4.399878E-14
39,-0.55,+1.365999E-13,+5.587244E-14
40,-0.5,+2.298482E-13,+9.254968E-14
41,-0.45,+2.923730E-13,+7.023018E-14
42,-0.4,+3.210802E-13,+5.586490E-14
43,-0.35,+3.883164E-13,+4.657485E-14
44,-0.3,+5.047820E-13,+3.136964E-14
45,-0.25,+6.531289E-13,+4.750617E-14
46,-0.2,+8.565741E-13,+2.226739E-14
47,-0.15,+1.174988E-12,+3.434220E-14
48,-0.1,+1.604916E-12,+1.358432E-13
49,-0.05,+2.369329E-12,+3.809598E-14
50,0,+3.445866E-12,+5.169815E-14
51,0.050000000000000266,+5.079498E-12,+3.728311E-14
52,0.10000000000000009,+7.318935E-12,+5.108468E-14
53,0.15000000000000036,+1.078164E-11,+4.714410E-14
54,0.20000000000000018,+1.558557E-11,+7.433883E-14
55,0.25,+2.214090E-11,+8.257747E-14
56,0.30000000000000027,+3.108245E-11,+1.369525E-13
57,0.3500000000000001,+4.296338E-11,+1.651059E-13
58,0.40000000000000036,+5.846554E-11,+3.007176E-13
59,0.4500000000000002,+7.797772E-11,+3.358219E-13
60,0.5,+1.024432E-10,+3.693715E-13
61,0.5500000000000003,+1.329457E-10,+6.600596E-13
62,0.6000000000000001,+1.692381E-10,+7.000998E-13
63,0.6500000000000004,+2.143458E-10,+7.727029E-13
64,0.7000000000000002,+2.656861E-10,+1.726291E-12
65,0.75,+3.246567E-10,+1.264833E-12
66,0.8000000000000003,+3.916553E-10,+1.521919E-12
67,0.8500000000000001,+4.671833E-10,+1.683606E-12
68,0.9000000000000004,+5.559051E-10,+1.264350E-12
69,0.9500000000000002,+6.502222E-10,+1.984845E-12
70,1,+7.494132E-10,+1.576873E-12
71,1.0500000000000003,+8.603807E-10,+1.992647E-12
72,1.1,+9.795180E-10,+2.094446E-12
73,1.1500000000000004,+1.107335E-09,+2.201138E-12
74,1.2000000000000002,+1.240861E-09,+2.807601E-12
75,1.25,+1.380304E-09,+2.720413E-12
76,1.3000000000000003,+1.532140E-09,+2.955010E-12
77,1.35,+1.683624E-09,+4.021197E-12
78,1.4000000000000004,+1.833486E-09,+6.572034E-12
79,1.4500000000000002,+2.011290E-09,+3.285599E-12
80,1.5,+2.181885E-09,+1.706150E-12
81,1.5499999999999998,+2.367338E-09,+1.330415E-12
82,1.6000000000000005,+2.540483E-09,+1.100111E-12
83,1.6500000000000004,+2.725729E-09,+1.297552E-12
84,1.7000000000000002,+2.901440E-09,+3.231899E-12
85,1.75,+3.100601E-09,+5.781986E-12
86,1.7999999999999998,+3.279814E-09,+2.702730E-12
87,1.8500000000000005,+3.467814E-09,+2.001509E-12
88,1.9000000000000004,+3.646003E-09,+5.644663E-12
89,1.9500000000000002,+3.830622E-09,+8.331572E-12
90,2,+4.018599E-09,+1.471021E-11
91,2.05,+4.154247E-09,+7.683595E-12
92,2.1000000000000005,+4.316798E-09,+3.902621E-12
93,2.1500000000000004,+4.477518E-09,+9.929318E-12
94,2.2,+4.623163E-09,+5.146709E-12
95,2.25,+4.750083E-09,+1.350705E-11
96,2.3000000000000007,+4.885051E-09,+3.353034E-12
97,2.3500000000000005,+4.999910E-09,+5.366359E-12
98,2.4000000000000004,+5.105333E-09,+6.539341E-12
99,2.45,+5.206169E-09,+4.237313E-12
