,Voltage,Current (Mean),Current (Std),,,
0,-2.50,-1.772100E-09,+1.597107E-12,,,
1,-2.45,-1.772929E-09,+1.698649E-12,,,
2,-2.40,-1.771004E-09,+1.042010E-12,,,
3,-2.35,-1.766548E-09,+1.103749E-12,,,
4,-2.30,-1.757877E-09,+1.707248E-12,,,
5,-2.25,-1.764181E-09,+1.701762E-12,,,
6,-2.20,-1.766392E-09,+2.354885E-12,,,
7,-2.15,-1.765101E-09,+3.378462E-12,,,
8,-2.10,-1.755785E-09,+1.037221E-12,,,
9,-2.05,-1.746963E-09,+1.133355E-12,,,
10,-2.00,-1.740209E-09,+1.421845E-12,,,
11,-1.95,-1.729656E-09,+1.163785E-12,,,
12,-1.90,-1.713198E-09,+1.943319E-12,,,
13,-1.85,-1.696222E-09,+2.545469E-12,,,
14,-1.80,-1.680904E-09,+1.323878E-12,,,
15,-1.75,-1.662442E-09,+2.115412E-12,,,
16,-1.70,-1.627496E-09,+1.051279E-12,,,
17,-1.65,-1.589204E-09,+2.000028E-12,,,
18,-1.60,-1.522129E-09,+4.606417E-11,,,
19,-1.55,-1.476909E-09,+1.313293E-12,,,
20,-1.50,-1.335615E-09,+2.669583E-12,,,
21,-1.45,-9.871646E-10,+1.867671E-12,,,
22,-1.40,-2.878282E-10,+7.827964E-13,,,
23,-1.35,+9.295928E-10,+7.173092E-13,,,
24,-1.30,+2.670145E-09,+1.484759E-12,,,
25,-1.25,+4.847422E-09,+3.040576E-12,,,
26,-1.20,+7.323963E-09,+6.711007E-12,,,
27,-1.15,+1.011914E-08,+9.244886E-12,,,
28,-1.10,+1.319508E-08,+2.441787E-11,,,
29,-1.05,+1.664468E-08,+3.470383E-11,,,
30,-1.00,+2.061475E-08,+8.560179E-11,,,
31,-0.95,+2.495096E-08,+7.370612E-11,,,
32,-0.90,+2.988396E-08,+7.819811E-11,,,
33,-0.85,+3.520918E-08,+1.024101E-10,,,
34,-0.80,+4.095956E-08,+4.356330E-11,,,
35,-0.75,+4.742715E-08,+4.770933E-11,,,
36,-0.70,+5.417702E-08,+3.629550E-11,,,
37,-0.65,+6.165383E-08,+1.101958E-10,,,
38,-0.60,+6.949929E-08,+1.516570E-10,,,
39,-0.55,+7.780285E-08,+6.360535E-11,,,
40,-0.50,+8.659409E-08,+2.822610E-10,,,
41,-0.45,+9.605282E-08,+2.374209E-10,,,
42,-0.40,+1.048866E-07,+2.156852E-10,,,
43,-0.35,+1.158017E-07,+1.670117E-10,,,
44,-0.30,+1.254585E-07,+1.051804E-10,,,
45,-0.25,+1.360161E-07,+1.115172E-10,,,
46,-0.20,+1.478422E-07,+3.760319E-10,,,
47,-0.15,+1.600718E-07,+4.490489E-10,,,
48,-0.10,+1.709950E-07,+1.311583E-10,,,
49,-0.05,+1.838038E-07,+5.900875E-10,,,
50,0.00,+1.974034E-07,+1.215214E-10,,,
51,0.05,+2.108299E-07,+6.433610E-11,,,
52,0.10,+2.245068E-07,+6.227525E-11,,,
53,0.15,+2.384456E-07,+2.034528E-10,,,
54,0.20,+2.528514E-07,+2.506452E-10,,,
55,0.25,+2.667952E-07,+3.460645E-10,,,
56,0.30,+2.812536E-07,+6.536751E-10,,,
57,0.35,+2.966730E-07,+7.339512E-10,,,
58,0.40,+3.122445E-07,+9.166470E-10,,,
59,0.45,+3.276986E-07,+3.369575E-10,,,
60,0.50,+3.455171E-07,+1.004011E-09,,,
61,0.55,+3.601900E-07,+3.003349E-10,,,
62,0.60,+3.768848E-07,+8.984616E-10,,,
63,0.65,+3.941813E-07,+1.109106E-09,,,
64,0.70,+4.121024E-07,+1.265637E-09,,,
65,0.75,+4.274825E-07,+7.052573E-10,,,
66,0.80,+4.399909E-07,+1.033883E-09,,,
67,0.85,+4.573197E-07,+1.612156E-09,,,
68,0.90,+4.741437E-07,+4.876692E-10,,,
69,0.95,+4.909629E-07,+4.566620E-10,,,
70,1.00,+5.101679E-07,+1.837211E-09,,,
71,1.05,+5.286415E-07,+1.904248E-09,,,
72,1.10,+5.449146E-07,+9.986006E-10,,,
73,1.15,+5.634164E-07,+5.816270E-10,,,
74,1.20,+5.800502E-07,+3.833052E-10,,,
75,1.25,+6.041612E-07,+4.371798E-10,,,
76,1.30,+6.249716E-07,+3.391266E-10,,,
77,1.35,+6.450009E-07,+1.320103E-09,,,
78,1.40,+6.615204E-07,+6.276599E-10,,,
79,1.45,+6.808453E-07,+1.668198E-09,,,
80,1.50,+7.002525E-07,+4.227020E-10,,,
81,1.55,+7.194793E-07,+4.678426E-10,,,
82,1.60,+7.386942E-07,+3.799086E-10,,,
83,1.65,+7.599605E-07,+6.652691E-10,,,
84,1.70,+7.809202E-07,+2.041034E-09,,,
85,1.75,+7.994393E-07,+3.936647E-10,,,
86,1.80,+8.213418E-07,+3.823931E-10,,,
87,1.85,+8.382344E-07,+1.921142E-09,,,
88,1.90,+8.597100E-07,+6.533457E-10,,,
89,1.95,+8.810762E-07,+4.792220E-10,,,
90,2.00,+8.996565E-07,+7.097158E-10,,,
91,2.05,+9.229578E-07,+7.211971E-10,,,
92,2.10,+9.421889E-07,+6.042916E-10,,,
93,2.15,+9.667210E-07,+1.344876E-09,,,
94,2.20,+9.894767E-07,+8.727574E-10,,,
95,2.25,+1.009804E-06,+1.308549E-09,,,
96,2.30,+1.033954E-06,+5.633388E-10,,,
97,2.35,+1.056691E-06,+7.633541E-10,,,
98,2.40,+1.074343E-06,+8.639873E-10,,,
99,2.45,+1.098500E-06,+9.009110E-10,,,
